,label,original,corrected
0,9,9,9
1,9,9,9
2,9,9,9
3,9,9,9
4,9,9,9
5,9,9,9
6,9,9,9
7,10,10,9
8,10,10,9
9,10,10,9
10,10,10,9
11,10,10,9
12,10,10,9
13,10,10,9
14,10,10,9
15,10,10,9
16,11,11,9
17,11,11,9
18,11,11,9
19,11,11,9
20,11,11,9
21,11,11,9
22,11,11,9
23,11,11,9
24,11,11,11
25,0,3,0
26,0,3,0
27,0,3,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,4,0
32,0,0,0
33,0,0,0
34,0,0,0
35,1,1,2
36,1,1,2
37,1,1,2
38,1,1,2
39,1,1,2
40,2,2,0
41,2,2,0
42,2,2,2
43,2,2,0
44,2,2,0
45,3,3,3
46,3,3,3
47,3,3,3
48,3,3,3
49,4,5,2
50,4,4,0
51,4,4,0
52,4,4,0
53,4,4,0
54,4,4,0
55,4,4,0
56,6,6,6
57,6,6,6
58,6,8,6
59,6,6,6
60,6,6,6
61,6,6,6
62,6,8,6
63,6,6,6
64,6,6,6
65,6,6,6
66,6,6,6
67,6,6,6
68,7,7,7
69,7,7,6
70,7,7,6
71,7,7,7
72,7,7,7
73,7,7,6
74,7,7,7
75,7,7,7
76,7,7,7
77,7,7,7
78,8,8,6
79,8,8,6
80,8,8,6
81,8,8,6
82,8,8,6
83,8,8,6
84,8,8,6
85,8,8,6
86,8,8,6
87,8,8,8
